train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,epoch,runtime,gamma,v_ema,fw_gap
0.2385193582325645,0.23051933534446825,0.9018789144050104,0.9083333333333333,0.8769230769230769,8,2.704568729344917,1.714559642606403,1,0.0035200119018554688,0.10000000000000003,0.17715033264695276,0.3968568172601042
0.2237634168389847,0.22266053857896206,0.9756437021572721,0.9722222222222222,0.8307692307692308,11,2.970906788106375,1.718810791327121,2,0.00702667236328125,0.10000000000000003,0.13084854639498372,0.13345594533135985
0.23074656405603064,0.2255049237766531,0.9944328462073765,0.9972222222222222,0.7846153846153846,14,2.9971349851476106,1.5882265053133404,3,0.01051473617553711,0.10000000000000003,0.1108771105222815,0.14557035676668392
0.20498693389856193,0.20255871552816113,0.9714683368128044,0.9666666666666667,0.7846153846153846,14,2.999717861673905,1.9145490639282012,4,0.013998031616210938,0.10000000000000003,0.0865099962196034,0.1327673799054888
0.21268316163779258,0.2133991208900302,0.9046624913013221,0.9055555555555556,0.7692307692307693,15,2.999972215838608,1.904940395816821,5,0.017375469207763672,0.10000000000000003,0.0953522000075279,0.1491770195795366
0.21714434867362983,0.22040537181985387,0.9902574808629089,0.9861111111111112,0.7230769230769231,18,2.999997263896633,1.698202769025658,6,0.020893335342407227,0.10000000000000003,0.1083771580759816,0.15060921220118348
0.221015949285482,0.21695511795440134,0.9011830201809325,0.9,0.6923076923076923,20,2.999999730556503,1.8900874231496467,7,0.024489164352416992,0.10000000000000003,0.11320878332533688,0.13942034299564324
0.2298961885505368,0.23277144462344468,0.988865692414753,0.9861111111111112,0.7230769230769231,18,2.9999999734659895,1.6527431827742458,8,0.02782607078552246,0.10000000000000003,0.11197069376270496,0.15474129967190411
0.22659274363764956,0.2312579631857712,0.9512874043145442,0.9444444444444444,0.7076923076923077,19,2.9999999973870093,1.7421235948216607,9,0.031586408615112305,0.10000000000000003,0.11196646599309654,0.16854665798035331
0.22147345691348125,0.22055789875659224,0.9290187891440501,0.925,0.7076923076923077,19,2.999999999742681,1.794944807778713,10,0.03493976593017578,0.10000000000000003,0.11334398681289748,0.168408195950354
0.23587084123702742,0.2324689544797117,0.9742519137091162,0.975,0.7230769230769231,18,2.999999999974661,1.5849456917922475,11,0.03838992118835449,0.10000000000000003,0.12380315571695026,0.14901385239031292
0.22999272068847854,0.23028720877910816,0.9846903270702854,0.9777777777777777,0.7076923076923077,19,2.999999999997506,1.5840200276462597,12,0.0419766902923584,0.10000000000000003,0.11173390068155978,0.1410951483235656
0.22723029045293947,0.22874746089562603,0.9011830201809325,0.9,0.7076923076923077,19,2.9999999999997553,1.7846248770256063,13,0.045496225357055664,0.10000000000000003,0.1148707941597184,0.1942387610182438
0.25184143974002704,0.24917154195781208,0.9735560194850382,0.9805555555555555,0.7230769230769231,18,2.999999999999977,1.5072689369932106,14,0.04893994331359863,0.10000000000000003,0.12449155877305537,0.1874471753500173
0.21095095825501642,0.21198637291897526,0.9011830201809325,0.9,0.7230769230769231,18,2.999999999999999,1.903256377686419,15,0.05246853828430176,0.10000000000000003,0.11189241717907902,0.17654468838670392
0.25497459033630626,0.256669979451072,0.9805149617258176,0.9833333333333333,0.7692307692307693,15,3.000000000000001,1.5370666026741964,16,0.05582165718078613,0.10000000000000003,0.10644115338995466,0.14660994905321464
0.21852503224204595,0.2237176044988052,0.9011830201809325,0.9,0.7846153846153846,14,3.000000000000001,1.9918071677916074,17,0.05922508239746094,0.10000000000000003,0.11643482291413891,0.1663915430788353
0.22630428932963959,0.22577158587112214,0.9867780097425192,0.9861111111111112,0.7538461538461538,16,3.000000000000001,1.6342754466860123,18,0.0627586841583252,0.10000000000000003,0.11760249629916157,0.15456876361405603
0.23425487330306016,0.23593799482786132,0.9672929714683368,0.9694444444444444,0.6923076923076923,20,3.0000000000000018,1.6522086906030962,19,0.06620287895202637,0.10000000000000003,0.1220319084091284,0.16232510559991453
0.2113612428012798,0.211616815249809,0.9025748086290883,0.9055555555555556,0.7230769230769231,18,3.000000000000001,1.9268793722447077,20,0.07020854949951172,0.10000000000000003,0.09711059430894813,0.16737374978204678
0.22474071720888522,0.2222702951250411,0.9819067501739736,0.9833333333333333,0.6923076923076923,20,3.000000000000001,1.6811271320197234,21,0.07376909255981445,0.10000000000000003,0.11014237538644613,0.14737521625568342
0.21612221403509252,0.2094204977735573,0.9798190675017397,0.9972222222222222,0.6923076923076923,20,3.000000000000001,1.7810044725527612,22,0.07726359367370605,0.10000000000000003,0.11339199413741691,0.1768972029425279
0.22509941364141936,0.22370309646642964,0.9255393180236604,0.9277777777777778,0.676923076923077,21,3.000000000000001,1.8075288128310343,23,0.08096075057983398,0.10000000000000003,0.11833290720653372,0.14916825115937424
0.25249437099232847,0.25607289249370807,0.942240779401531,0.9444444444444444,0.6615384615384615,22,3.000000000000001,1.5981726124135733,24,0.08443617820739746,0.10000000000000003,0.10682563313693248,0.15298818186754912
0.21883112342028452,0.21592067740223622,0.9450243562978428,0.95,0.6615384615384615,22,3.000000000000001,1.8135317757079057,25,0.08788061141967773,0.10000000000000003,0.13199603488921113,0.20632515230774864
0.20580118659313057,0.20816647665093846,0.9199721642310369,0.9166666666666666,0.676923076923077,21,3.000000000000001,1.9496968215910981,26,0.09146237373352051,0.10000000000000003,0.0995795930572415,0.14026165054645334
0.22296717405603658,0.21999951259738199,0.9359777313848295,0.9333333333333333,0.676923076923077,21,3.000000000000001,1.7401999213706616,27,0.09483885765075684,0.10000000000000003,0.11742697991673019,0.15589053234620162
0.23677296037424397,0.23573794620436314,0.9213639526791928,0.925,0.6615384615384615,22,3.0000000000000013,1.6745258523318172,28,0.0983743667602539,0.10000000000000003,0.1196300112497988,0.15896745108471486
0.2442612384296847,0.24774892068236964,0.9338900487125957,0.9361111111111111,0.676923076923077,21,3.000000000000001,1.6301000216587738,29,0.10199594497680664,0.10000000000000003,0.12322490172461725,0.17306642213559442
0.2096645739391726,0.20799566006422915,0.9157967988865693,0.925,0.6923076923076923,20,3.000000000000001,1.9375817585564648,30,0.10562252998352051,0.10000000000000003,0.10921696881580185,0.15478407657666446
0.2307752125715014,0.22395291668983283,0.9575504523312457,0.95,0.6923076923076923,20,3.000000000000001,1.6635182591474067,31,0.10892796516418457,0.10000000000000003,0.11693369822293008,0.16881609416387616
0.2501034914507557,0.25205297138415705,0.9700765483646486,0.9583333333333334,0.7076923076923077,19,3.000000000000001,1.5599616466869888,32,0.11252689361572266,0.10000000000000003,0.12820362655816106,0.17319012968662129
0.22826576615651448,0.22350370445418583,0.9290187891440501,0.9416666666666667,0.7538461538461538,16,3.0000000000000013,1.7425284496151672,33,0.11591601371765137,0.10000000000000003,0.1189664200942873,0.19283362937632276
0.2302235557783784,0.23096181966309565,0.9624217118997912,0.9611111111111111,0.7538461538461538,16,3.000000000000001,1.657718844976979,34,0.11927986145019531,0.10000000000000003,0.11256247207724945,0.19813308421841577
0.22672238601175312,0.22725706923508548,0.9951287404314544,0.9916666666666667,0.7538461538461538,16,3.0000000000000013,1.6779463959975975,35,0.12280654907226562,0.10000000000000003,0.10805846803238474,0.13491721524465136
0.21274803373449783,0.21659657413837538,0.9624217118997912,0.9666666666666667,0.7384615384615385,17,3.000000000000001,1.8070975587818099,36,0.12787246704101562,0.10000000000000003,0.10827583433501463,0.15080320559103094
0.22595610701924568,0.22489429219198548,0.9728601252609603,0.9666666666666667,0.7384615384615385,17,3.000000000000001,1.7449486770430183,37,0.13141489028930664,0.10000000000000003,0.10783429610568068,0.17625997205201924
0.23173577986398095,0.23340103993426217,0.9617258176757133,0.9555555555555556,0.7076923076923077,19,3.0000000000000013,1.6897351836242291,38,0.1349031925201416,0.10000000000000003,0.11222809147828783,0.1814122585240747
0.23988278584593165,0.24083883015721055,0.919276270006959,0.9277777777777778,0.7076923076923077,19,3.0000000000000013,1.7120659278920518,39,0.13827776908874512,0.10000000000000003,0.11298061386005766,0.15476938608272514
0.21849696786648415,0.22010736075252452,0.9276270006958942,0.9305555555555556,0.7538461538461538,16,3.000000000000001,1.8261543942453942,40,0.14174318313598633,0.10000000000000003,0.12565009217813636,0.15904533680405747
