train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,epoch,runtime
0.45480619645771597,0.4549835825810553,0.8942240779401531,0.9166666666666666,0.046153846153846156,62,2.339056455149091,0.5059511435357287,1,0.003688812255859375
0.34580971526233806,0.3437825286693996,0.9519832985386222,0.9611111111111111,0.046153846153846156,62,3.5083977222540095,0.8430104422152029,2,0.007478952407836914
0.27937383543642846,0.2783459523007335,0.9749478079331941,0.9805555555555555,0.046153846153846156,62,4.327799046551248,1.104555418450599,3,0.01035451889038086
0.23454994414874691,0.2330973054335361,0.9832985386221295,0.9861111111111112,0.046153846153846156,62,4.97873670975545,1.320645369696909,4,0.013214826583862305
0.20245443553618928,0.2020785953888115,0.988865692414753,0.9888888888888889,0.046153846153846156,62,5.566126137569427,1.5051659416893022,5,0.016277551651000977
0.17796640651786785,0.17838469876570123,0.9937369519832986,0.9916666666666667,0.046153846153846156,62,5.995668560169683,1.663917979232538,6,0.019050121307373047
0.15959244893217647,0.1616975339603128,0.9944328462073765,0.9916666666666667,0.046153846153846156,62,6.421752106719576,1.8056162864280247,7,0.021819114685058594
0.14456700378126902,0.14678536750230495,0.9951287404314544,0.9916666666666667,0.046153846153846156,62,6.823852569030862,1.9331121887724685,8,0.0245058536529541
0.13233373989260616,0.13461644742471637,0.9979123173277662,0.9916666666666667,0.046153846153846156,62,7.182971325562053,2.048650691112357,9,0.027489662170410156
0.12205906307779597,0.12448247669611164,0.9979123173277662,0.9916666666666667,0.046153846153846156,62,7.472150660967384,2.154390258994109,10,0.030252933502197266
0.1137647099211854,0.1153125619929111,0.9979123173277662,0.9944444444444445,0.046153846153846156,62,7.767797887925715,2.249171799093276,11,0.032973289489746094
0.10662704536156252,0.10830662044734157,0.9979123173277662,0.9944444444444445,0.046153846153846156,62,8.068266368407603,2.337294017356916,12,0.03592562675476074
0.10033468920873825,0.10330655565981443,0.9972164231036882,0.9944444444444445,0.046153846153846156,62,8.278492024994922,2.420744554965892,13,0.03856992721557617
0.09477343657621115,0.09667184644491927,0.9979123173277662,0.9944444444444445,0.046153846153846156,62,8.526269483952412,2.498788568025063,14,0.04140114784240723
0.08993905305719536,0.09195066528697796,0.9979123173277662,0.9944444444444445,0.046153846153846156,62,8.742825971374273,2.5713747178679576,15,0.0441436767578125
0.08576738837571948,0.08758418400286763,0.9979123173277662,0.9944444444444445,0.046153846153846156,62,8.9675250516382,2.6389354811271803,16,0.04714059829711914
