optimizer,train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,runtime,gamma,fw_gap
SGD,0.07888368529973806,0.08137861705784034,0.9824175824175824,0.9824561403508771,0.0,31.0,10.722155031905586,2.203417152597614,0.06863832473754883,,
Adam,0.05808395813108122,0.07102772160608375,0.9824175824175824,0.9824561403508771,0.0,31.0,17.266702672883184,3.537346149592271,0.07859396934509277,,
Projected SGD,0.13697856440507722,0.13728677758287056,0.978021978021978,0.9824561403508771,0.1935483870967742,25.0,4.999999999999999,1.2717853122299898,0.09282636642456055,,
SFW-Paper,0.16875086740347356,0.1724075524404649,0.9692307692307692,0.9824561403508771,0.03225806451612903,30.0,4.618468545619478,1.2397836345672777,0.08527278900146484,0.0036005496507277683,0.21086284554516185
FW-VC,0.20463990046113675,0.22395989491017848,0.9516483516483516,0.9385964912280702,0.2903225806451613,22.0,4.9774258778879,1.4422326146939712,0.08631658554077148,0.10000000000000002,0.34574288749265475
