train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,epoch,runtime
0.49082233145595955,0.4747851796394585,0.7766179540709812,0.7944444444444444,0.046153846153846156,62,5.069298636497519,0.7700937704885141,1,0.003142118453979492
0.3996415837177935,0.3839549599057089,0.871955462769659,0.8972222222222223,0.046153846153846156,62,6.2446010233830815,1.0593609681315959,2,0.0062520503997802734
0.3366272321567662,0.32088372011402494,0.9123173277661796,0.9194444444444444,0.046153846153846156,62,7.222644569563912,1.2378866817020624,3,0.009232521057128906
0.28588174040539527,0.2795598229399237,0.9380654140570633,0.9472222222222222,0.046153846153846156,62,7.875160509322742,1.4057145604019632,4,0.012447834014892578
0.24873540051756196,0.24947057914497123,0.954070981210856,0.95,0.046153846153846156,62,8.591979925974043,1.5641894517926007,5,0.01544809341430664
0.21914576033414046,0.2204386490053603,0.9672929714683368,0.9666666666666667,0.046153846153846156,62,9.064678973712633,1.7074043044794243,6,0.018451929092407227
0.1943607780432847,0.19791926448841773,0.9749478079331941,0.9583333333333334,0.046153846153846156,62,9.34774265818732,1.8369048537494395,7,0.02151799201965332
0.1738187244283819,0.17600376208114388,0.9756437021572721,0.9694444444444444,0.046153846153846156,62,9.693945435946437,1.9680320132783211,8,0.02463388442993164
0.15740865199342327,0.16090609921933693,0.9839944328462074,0.9805555555555555,0.046153846153846156,62,10.014099156639176,2.072534785263745,9,0.027625083923339844
0.14285288519072725,0.1466727091599216,0.9874739039665971,0.9805555555555555,0.046153846153846156,62,10.245345032802676,2.171496073518664,10,0.0307004451751709
0.1315688835175303,0.13632899017508227,0.9860821155184412,0.9833333333333333,0.046153846153846156,62,10.571687494733931,2.2898532916586296,11,0.033731698989868164
0.11933264082873964,0.12312893098400424,0.988865692414753,0.9916666666666667,0.046153846153846156,62,10.725694177803422,2.388759151072446,12,0.03681468963623047
0.11271249126128999,0.11695388786931081,0.9909533750869868,0.9722222222222222,0.046153846153846156,62,11.30366509074641,2.500159426904843,13,0.039855003356933594
0.10237648188549296,0.1090147727479261,0.9923451635351427,0.9916666666666667,0.046153846153846156,62,11.366734549588005,2.5806556832089553,14,0.04294252395629883
