train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,epoch,runtime
0.28545900458575896,0.2862551087648891,0.9582417582417583,0.9649122807017544,0.0,31,2.4512068680167918,0.5092798287832191,1,0.0020728111267089844
0.2155405643331646,0.21390447495505682,0.9626373626373627,0.9649122807017544,0.0,31,3.4910150836954115,0.7268842786598801,2,0.00401616096496582
0.18101507937101596,0.17898564904439598,0.967032967032967,0.9649122807017544,0.0,31,4.227843922379172,0.8836742698171285,3,0.0059316158294677734
0.16161017223904967,0.15973039197647534,0.9692307692307692,0.9649122807017544,0.0,31,4.793834755197894,0.9960762541570318,4,0.007797956466674805
0.15359100213601667,0.15328244859087745,0.9692307692307692,0.9649122807017544,0.03225806451612903,30,5.0,1.046820964295289,5,0.010117053985595703
0.15175246625954572,0.1524899278527305,0.9736263736263736,0.9649122807017544,0.03225806451612903,30,4.999999999999999,1.0577866459458773,6,0.012454509735107422
0.15011668434326086,0.14897667433732284,0.9692307692307692,0.9649122807017544,0.06451612903225806,29,5.0,1.0756388726123876,7,0.01474905014038086
0.14825739044930827,0.14741938643359992,0.9714285714285714,0.9649122807017544,0.06451612903225806,29,4.999999999999999,1.0934531927249995,8,0.017258882522583008
0.14700922999187563,0.14651106393732735,0.9714285714285714,0.9736842105263158,0.0,31,4.999999999999999,1.1065262628507446,9,0.01963663101196289
0.14580213255412297,0.14491900827690768,0.9714285714285714,0.9736842105263158,0.1935483870967742,25,5.0,1.1194281897713119,10,0.022051572799682617
0.14498611828816224,0.14461398219520397,0.9714285714285714,0.9736842105263158,0.0967741935483871,28,5.0,1.1277669259457306,11,0.024912595748901367
0.14428721033028877,0.14364200908895142,0.9714285714285714,0.9736842105263158,0.1935483870967742,25,5.000000000000002,1.1373539107583097,12,0.027279138565063477
0.14358168921996525,0.14390683262712872,0.9736263736263736,0.9736842105263158,0.0967741935483871,28,4.999999999999997,1.1457114530650445,13,0.029772520065307617
