optimizer,train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,runtime,gamma,fw_gap
SGD,0.043590578906220916,0.04782318565262499,0.9972164231036882,0.9944444444444445,0.046153846153846156,62.0,12.272415474899582,3.656812805320982,0.11453604698181152,,
Adam,0.032802213193816286,0.040909082601213835,0.9972164231036882,0.9972222222222222,0.046153846153846156,62.0,16.07436012075633,4.225873192420707,0.12194132804870605,,
Projected SGD,0.20233907454821048,0.2014665550887612,0.9053583855254002,0.9083333333333333,0.7384615384615385,17.0,3.0,1.9863428775276326,0.15030932426452637,,
SFW-Paper,0.21695009991661438,0.21620946179581663,0.9839944328462074,0.9833333333333333,0.4153846153846154,38.0,2.999992278409662,1.6958623979007097,0.1308424472808838,0.002295015489566785,0.12875016361229855
FW-VC,0.21849696786648415,0.22010736075252452,0.9276270006958942,0.9305555555555556,0.7538461538461538,16.0,3.000000000000001,1.8261543942453942,0.14174318313598633,0.10000000000000003,0.15904533680405747
