train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,epoch,runtime,gamma,fw_gap
0.19165590295390308,0.20935367397339866,0.9428571428571428,0.9298245614035088,0.6129032258064516,12,4.958333333333334,1.6950704672339996,1,0.0021588802337646484,0.2686755704612847,0.908814973290541
0.18346584277505557,0.20548329123245726,0.9648351648351648,0.956140350877193,0.5806451612903226,13,4.413793103448277,1.463250444340159,2,0.004184246063232422,0.08775116252734252,0.4559974224662434
0.18545751995063908,0.20532382757646808,0.967032967032967,0.9473684210526315,0.5161290322580645,15,4.730443974630022,1.5642766707114446,3,0.0062847137451171875,0.053962680344101274,0.32968288511495286
0.16956773423189594,0.18463594982250747,0.9626373626373627,0.9649122807017544,0.4838709677419355,16,4.845735027223231,1.5748277981368186,4,0.00843501091003418,0.03907552863051404,0.2048801769433173
0.15744212347951436,0.1619584437148042,0.9692307692307692,0.9736842105263158,0.45161290322580644,17,4.747652582159624,1.4517542641742407,5,0.010486125946044922,0.03065079426093085,0.2741339088506972
0.16179331618230067,0.17367311857125903,0.9626373626373627,0.9473684210526315,0.41935483870967744,18,4.823529411764706,1.4626905929644665,6,0.012644767761230469,0.025222213410687276,0.18927836577563853
0.17256398227265107,0.18430316670039126,0.9516483516483516,0.9385964912280702,0.3870967741935484,19,4.869696969696969,1.4365408548276728,7,0.014847278594970703,0.02143026717079932,0.2151700627924061
0.16975747518164686,0.17992191857217166,0.9648351648351648,0.9649122807017544,0.3870967741935484,19,4.850178543704391,1.4000309670603996,8,0.017037153244018555,0.018630878341231866,0.2257672499416532
0.16777383880943925,0.17276900737463993,0.9758241758241758,0.9736842105263158,0.3225806451612903,21,4.725024606299212,1.3425122492350847,9,0.01898193359375,0.016479060937275584,0.2251125416719821
0.1659682343528568,0.17071094959907285,0.967032967032967,0.9649122807017544,0.2903225806451613,22,4.776745579862151,1.3311763177684077,10,0.021037578582763672,0.014773231988113136,0.29517246654816715
0.16652296703249123,0.1713098920412455,0.967032967032967,0.9736842105263158,0.22580645161290322,24,4.687758478081058,1.2991913694498918,11,0.02303481101989746,0.013387665654576277,0.23640812029915012
0.16867619074924278,0.17487691668431146,0.9626373626373627,0.9824561403508771,0.1935483870967742,25,4.737208492864602,1.2898537614485568,12,0.024985313415527344,0.012239859834002609,0.27383532526741544
0.16956179893141693,0.17577645239186546,0.9648351648351648,0.9824561403508771,0.1935483870967742,25,4.6748039914469,1.2462774110000976,13,0.027085542678833008,0.011273422498707561,0.2560697154915453
0.167522472778671,0.1722363287569168,0.9648351648351648,0.9824561403508771,0.1935483870967742,25,4.622365789878481,1.274753600103391,14,0.029050588607788086,0.01044849572519062,0.22966434985203807
0.16675689405129393,0.1742150811636007,0.967032967032967,0.9824561403508771,0.16129032258064516,26,4.67070553518734,1.2544737562775552,15,0.031046152114868164,0.009736107641593526,0.2511159544818177
0.1681393953554825,0.17558288199618835,0.9692307692307692,0.9736842105263158,0.12903225806451613,27,4.625762045231073,1.2391821332514352,16,0.03313398361206055,0.009114692288213603,0.20837930423527526
0.168909943025122,0.17493377996244702,0.9714285714285714,0.9736842105263158,0.0967741935483871,28,4.668235704323572,1.2097566245882945,17,0.035223960876464844,0.008567864688308037,0.24317558555909313
0.16580933134576137,0.17218590737142647,0.9692307692307692,0.9824561403508771,0.0967741935483871,28,4.703868538171863,1.2267536423482042,18,0.03743457794189453,0.008082952767102776,0.2091173276297509
0.16588909287150286,0.173115744221383,0.9736263736263736,0.9736842105263158,0.0967741935483871,28,4.734054446866792,1.2158898361615706,19,0.03956198692321777,0.007650001803201178,0.21325213569464102
0.16783138398324732,0.17610610201506405,0.9758241758241758,0.9824561403508771,0.06451612903225806,29,4.759849574720479,1.2009186759350574,20,0.041527509689331055,0.007261082967490702,0.2341159614347351
0.1660069783604791,0.17362288924341981,0.9648351648351648,0.9824561403508771,0.06451612903225806,29,4.782065964269354,1.2315434716086873,21,0.043672800064086914,0.006909802815879495,0.20803374727914223
0.16389128752616833,0.17221177765662507,0.9692307692307692,0.9736842105263158,0.06451612903225806,29,4.7386992379162765,1.2421883867068941,22,0.0458526611328125,0.0065909487370475195,0.22705332370985692
0.16759211473270455,0.17530510089447768,0.9692307692307692,0.9824561403508771,0.06451612903225806,29,4.700244620265262,1.2226902708452405,23,0.04795122146606445,0.006300228326251285,0.23077897463420602
0.1698003286470053,0.1788591429353067,0.9648351648351648,0.9649122807017544,0.03225806451612903,30,4.724597475111059,1.2182872487351795,24,0.04990386962890625,0.006034074879169744,0.24396529307698087
0.16897740274474973,0.17792551308154989,0.967032967032967,0.9649122807017544,0.03225806451612903,30,4.746098808598811,1.2171115077540566,25,0.052008867263793945,0.005789500226973317,0.2063710009493583
0.16849252620113764,0.1775783557003349,0.9692307692307692,0.9824561403508771,0.03225806451612903,30,4.76517703420915,1.2366094888603534,26,0.05404329299926758,0.005563981992171925,0.24499691677167143
0.16575388217324166,0.17404066269593074,0.9714285714285714,0.9824561403508771,0.03225806451612903,30,4.782183030134706,1.2577947375863003,27,0.05602622032165527,0.00535537622403947,0.23583276013309068
0.16667574198811233,0.17505722660964626,0.9692307692307692,0.9824561403508771,0.03225806451612903,30,4.79740638844758,1.2541326758773184,28,0.05855894088745117,0.0051618489886206065,0.22085405182623763
