train_loss,test_loss,train_acc,test_acc,sparsity,nnz,l1_norm,l2_norm,epoch,runtime
0.4535323853320186,0.4551254080849225,0.8921363952679193,0.9,0.046153846153846156,62,2.3971417704676803,0.5138594515308883,1,0.0033333301544189453
0.3557676865092686,0.3550193784189805,0.953375086986778,0.9694444444444444,0.1076923076923077,58,2.9999999999999996,0.8050016794219345,2,0.006824493408203125
0.3038374417212919,0.30281473234616363,0.9839944328462074,0.9833333333333333,0.24615384615384617,49,3.0000000000000013,1.0112091118290778,3,0.010676145553588867
0.2715389343869613,0.26816104590543355,0.9916492693110647,0.9888888888888889,0.46153846153846156,35,3.000000000000001,1.17591406766797,4,0.014297246932983398
0.25238874063727573,0.2479520994863616,0.9930410577592206,0.9944444444444445,0.4307692307692308,37,3.0000000000000004,1.2980018276064131,5,0.018190383911132812
0.23680180083087002,0.23364219201550962,0.9937369519832986,0.9944444444444445,0.5230769230769231,31,3.0,1.418237033771145,6,0.022090435028076172
0.22671184874925757,0.22296937299774128,0.9944328462073765,0.9916666666666667,0.6307692307692307,24,3.000000000000001,1.510876711338504,7,0.025914907455444336
0.22022340016259853,0.21651529214862306,0.988865692414753,0.9888888888888889,0.6615384615384615,22,3.0,1.5845442848421076,8,0.02985525131225586
0.2156474367927372,0.21254128498983976,0.9867780097425192,0.9861111111111112,0.7230769230769231,18,2.999999999999999,1.646426226025758,9,0.03354215621948242
0.21333115304947262,0.21029834204326658,0.9819067501739736,0.9833333333333333,0.6,26,3.0,1.6894980884269382,10,0.037160396575927734
0.21044216598800045,0.20813020349445452,0.9791231732776617,0.9777777777777777,0.7692307692307693,15,2.999999999999999,1.735001032070165,11,0.04095792770385742
0.20886856315474114,0.2062511968664416,0.9721642310368824,0.975,0.7230769230769231,18,3.000000000000001,1.7691011822332499,12,0.04458045959472656
0.20757765885810947,0.20489073578293507,0.9589422407794015,0.9611111111111111,0.676923076923077,21,2.9999999999999996,1.8086972376946377,13,0.04833364486694336
0.20682315839813056,0.2036316698302742,0.9547668754349339,0.9583333333333334,0.7076923076923077,19,3.000000000000001,1.8263575697044696,14,0.052181243896484375
0.20711815191454472,0.20529141551710275,0.9505915100904663,0.9472222222222222,0.6307692307692307,24,3.0,1.8369396683592885,15,0.05588126182556152
0.2055958133548016,0.20315906634104985,0.9498956158663883,0.9444444444444444,0.6615384615384615,22,2.9999999999999996,1.8602270990111365,16,0.05954456329345703
0.20559962151257477,0.20384791024074234,0.9318023660403618,0.9361111111111111,0.6923076923076923,20,3.0,1.8799446985336525,17,0.06320309638977051
0.20433015041093566,0.2022125216506341,0.9234516353514266,0.9305555555555556,0.7692307692307693,15,3.0000000000000004,1.9056001988703686,18,0.06713652610778809
0.20410317376701706,0.20211684804317157,0.9199721642310369,0.925,0.7538461538461538,16,3.0000000000000004,1.9146342579268427,19,0.07092165946960449
0.20374387222234627,0.20216343491697827,0.930410577592206,0.9277777777777778,0.8,13,2.9999999999999996,1.9179467784738067,20,0.07449984550476074
0.20355219528886165,0.20205529716301188,0.9255393180236604,0.9277777777777778,0.7692307692307693,15,3.0000000000000004,1.9291213683469808,21,0.07822418212890625
0.20409751391742612,0.20266101789477864,0.9067501739735561,0.9083333333333333,0.7384615384615385,17,3.0,1.9407049778265313,22,0.08232450485229492
0.20313053071713671,0.2014872569959351,0.9102296450939458,0.9166666666666666,0.7846153846153846,14,3.000000000000001,1.9479788511247818,23,0.086273193359375
0.20328869346069514,0.20139947648020629,0.9345859429366736,0.9305555555555556,0.7230769230769231,18,3.0,1.9429456112182493,24,0.09010767936706543
0.20291692045636117,0.2010764944859044,0.9220598469032707,0.9277777777777778,0.7230769230769231,18,3.0,1.9537247185279376,25,0.0938115119934082
0.2031566068205941,0.2017435088099071,0.906054279749478,0.9083333333333333,0.676923076923077,21,3.0,1.9609546677149947,26,0.09751152992248535
0.20266298895313967,0.20174485501398204,0.9053583855254002,0.9083333333333333,0.7384615384615385,17,3.0,1.9693463832877396,27,0.10126137733459473
0.20271026028095135,0.20201477396814013,0.9053583855254002,0.9083333333333333,0.7230769230769231,18,2.9999999999999996,1.9706636535034103,28,0.10490202903747559
0.20254539732647667,0.20187181478937785,0.9032707028531664,0.9083333333333333,0.8,13,3.0,1.9791864676948283,29,0.10868239402770996
0.20251740669592197,0.2016528984306533,0.9067501739735561,0.9083333333333333,0.8,13,3.000000000000001,1.9706430243270674,30,0.11233997344970703
0.20264071902867514,0.201398052571515,0.9491997216423104,0.9416666666666667,0.7846153846153846,14,3.0,1.9551470357576117,31,0.1161489486694336
0.20251784805069772,0.20143464709420036,0.9352818371607515,0.9361111111111111,0.8307692307692308,11,3.000000000000001,1.9633594023070253,32,0.1198732852935791
0.20270761116378005,0.2017581664935936,0.9171885873347251,0.9138888888888889,0.7230769230769231,18,3.000000000000001,1.9655141169543755,33,0.12409329414367676
0.2025952599216431,0.20165982010546793,0.9485038274182325,0.9416666666666667,0.7538461538461538,16,3.0000000000000004,1.9579353186987563,34,0.12803053855895996
0.20252301468122255,0.2013432639587823,0.9505915100904663,0.9472222222222222,0.8,13,3.0,1.9566287741593065,35,0.13184428215026855
0.20301666400595678,0.20222749511650104,0.9095337508698678,0.9083333333333333,0.7538461538461538,16,2.999999999999999,1.971170148164581,36,0.13541913032531738
0.2023706442309591,0.20139661897882546,0.9095337508698678,0.9111111111111111,0.7692307692307693,15,3.0000000000000004,1.9747487777228705,37,0.13912081718444824
0.20236902795807601,0.20142754101689206,0.9088378566457899,0.9083333333333333,0.7846153846153846,14,3.0,1.9793407805055439,38,0.14298319816589355
0.20234088160677774,0.20167936077193171,0.9053583855254002,0.9083333333333333,0.7384615384615385,17,3.0000000000000004,1.9827801739805815,39,0.14670920372009277
0.20233907454821048,0.2014665550887612,0.9053583855254002,0.9083333333333333,0.7384615384615385,17,3.0,1.9863428775276326,40,0.15030932426452637
